SIZE_HA	FIRE_DATE	FEAT_AREA	FEAT_LEN
2.5	19390512	25092.9002	587.9543
16.1	19390512	161647.966	1526.3355
10.3	19360601	103138.8064	1195.331
7.9	19360601	79222.9514	1158.8286
3.8	19390514	38344.3405	771.3302
1.6	19390514	16099.8479	520.4104
345.5	19320627	3455960.712	10604.8031
1.6	19380528	16707.1127	500.2582
12.5	19340709	125556.0846	1566.8884
2.2	19380602	22275.7958	634.7609
5.3	19340727	53929.0247	992.9542
114.3	19340805	1143381.807	5151.6924
129.8	19360523	1298955.966	4777.1861
9.7	19360718	97679.7247	1192.7536
310.4	19340812	3104506.663	8927.6531
35.4	19380629	354794.7638	2754.672
3.8	19360724	38544.7184	790.2953
73.9	19330816	739454.13	3446.1995
4.3	19360729	43114.642	894.6357
1.3	19360715	13629.1672	515.3837
47.6	19360721	476275.9231	2783.9201
4.5	19360721	45259.9626	914.0133
237.4	20070516	2374806.348	7030.4791
10.8	19380628	108260.3418	1310.462
1267.2	19340807	12672065.08	21401.0071
7.4	19360730	74596.3743	1006.3493
2.8	19360724	28685.2466	645.1034
672.2	19360724	6722830.005	14483.2096
358.5	19310730	3585263.013	7235.8701
1.1	19330615	11927.6185	402.0875
36.6	19330824	366671.0443	2835.7386
171.5	19340820	1715152.866	6307.1201
25.1	19380712	251277.1555	2125.2399
57.6	19340824	576260.6953	3790.3756
17.7	19360809	177182.8894	1616.0288
137.5	19360809	1375206.682	6347.3685
1.7	20070516	17011.6663	476.0028
53.6	19360802	536906.5062	4419.557
24.6	19340826	246057.0743	2053.1215
16.9	19390812	169732.6742	2066.1722
107.3	19390429	1073223.804	3945.4689
111.8	19380722	1118523.208	4768.4276
8.1	19380721	81710.5523	1084.4388
23.4	19310820	234753.4624	1876.1598
28.1	19390830	281801.6819	2033.4963
68.8	19390826	688336.3352	3558.8163
45.2	19380725	452189.0822	3288.2212
21	19380729	210717.1063	3343.9374
1232.3	19380720	12323740.28	20638.8029
33.8	19310820	338331.8676	2215.0313
6.7	19380730	67577.5255	959.4648
32.8	19380725	328661.3115	2236.4194
70.6	20070516	706632.1976	3904.8872
113.7	19380801	1137517.592	4151.7089
58.2	19310721	582095.9689	3315.3907
1032.9	19390726	10329905.62	22567.9963
1.6	19370821	16529.5854	472.1491
112.1	19340827	1121899.345	4926.0944
942.1	19390728	9421676.131	13435.8818
15.7	19330817	157032.8547	1523.7546
63.2	19330817	632665.0888	3615.4494
130	19330806	1300249.416	5309.2908
14.5	19380720	145837.7419	1420.5674
134.9	19390816	1349587.174	5669.9409
42.9	19390708	429143.0794	2458.5787
87	19391008	870793.0346	3947.1301
179.4	19390811	1794047.868	6096.3756
6.5	19380728	65656.8512	955.6336
67.6	19380728	676534.356	3255.2669
320.8	19370526	3208750.073	7722.3707
15.5	19380802	155157.3726	1437.7655
33.8	19310819	338414.8208	2236.6845
125.9	19310822	1259785.988	5002.984
749	19390427	7490295.326	13836.335
172.6	19380523	1726812.803	11675.0136
12.6	19330617	126023.3345	1546.4965
27.4	19380903	274104.1323	2254.7708
69.6	19380528	696471.4854	3158.3166
5	20070516	50344.2322	844.915
1.3	19350409	13907.9989	446.2627
27.4	19390514	274489.8389	1993.0218
13.3	19370725	133752.554	1878.2126
307.3	19390727	3073536.024	9289.7954
220.7	19390725	2207512.92	5584.467
5.5	19340813	55228.5504	1027.2574
14.5	19390724	145986.7333	1553.0087
5	19340813	50461.0963	1201.2147
33.2	19390724	332732.3295	2401.4915
23.7	19370811	237791.1762	2728.7741
93.9	19310727	939749.293	4586.9003
34.5	19390821	345483.3766	2344.3144
19.7	19350428	197352.4338	2769.299
105.4	19390820	1054094.37	5921.989
12.2	19390428	122731.0525	1393.045
